Topic	Subtopic	URL
String matching algorithms	KMP Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA53/problems/CLGKMP03
String matching algorithms	KMP Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA53/problems/CLGKMP04
String matching algorithms	KMP Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA53/problems/CLGKMP05
String matching algorithms	KMP Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA53/problems/CLGKMP06
String matching algorithms	KMP Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA53/problems/CLGKMP07
String matching algorithms	KMP Algorithm	https://www.codechef.com/learn/course/thapar-daa-2026/TPRDAA53/problems/CLGKMP08
String matching algorithms	Suffix arrays	https://www.codechef.com/learn/course/thapar-daa-2026/SUFFIXARRAY1/problems/SUFFIXARR1
String matching algorithms	Suffix arrays	https://www.codechef.com/learn/course/thapar-daa-2026/SUFFIXARRAY1/problems/SUFFIXARR2
String matching algorithms	Suffix arrays	https://www.codechef.com/learn/course/thapar-daa-2026/SUFFIXARRAY1/problems/SUFFIXARR3
String matching algorithms	Suffix arrays	https://www.codechef.com/learn/course/thapar-daa-2026/SUFFIXARRAY1/problems/SUFFIXARR4
